Meaning,Spanish,Portuguese
mayor,alcalde < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=1bOD9ux</ref>,presidente da câmara (municipal) / prefeito < Lat.
bricklayer  stonemason,albañil < Hisp. Ar. < Arabic <ref>cite web=http://etimologias.dechile.net/?alban.il</ref>,pedreiro < Lat.
potter,alfarero < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=1jerbOJ</ref>,oleiro < Lat.
vest,chaleco < Alg. Ar. < Turk <ref>cite web=http://etimologias.dechile.net/?chaleco</ref>,colete < Ita.
basil,albahaca < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=1UmZ3Ns</ref>,basílico  manjericão < Lat.  uncertain origin
bean,alubia < Hisp. Ar. < Arabic <ref name="ddd.uab.cat">cite web=https://ddd.uab.cat/pub/tfg/2016/tfg_45415/TFG_2015-16_FTI_Khayat.pdf</ref>,feijão < Lat. <ref>cite web=https://dicionario.priberam.org/feijão</ref>
celery,chirivía < Hisp. Ar. <ref>cite web=https://dle.rae.es/?id=8rvR43Q</ref><ref>cite web=https://dle.rae.es/?id=1cjAXsV</ref>,aipo < Lat.
watermelon,sandía < Hisp. Ar. < Arabic <ref name="ddd.uab.cat"/>,melancia < Lat.
pistachio,alfóncigo < Hisp. Ar. < Arabic <ref> https://dle.rae.es/alfóncigo </ref>,pistácio  pistacho < Lat < Gre <ref> https://dicionario.priberam.org/pistácio </ref>
thrush,zorzal < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=cViNNkW</ref>,tordo < Lat.
hobby (bird),alcotán < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=1emg5xh</ref>,ógea < uncertain origin
mackerel,jurel < Hisp. Ar < Lat <ref>cite web=https://dle.rae.es/?id=Me5XkaM</ref>,cavala < Gaulish < Celt . <ref>cite web=https://www.academia.edu/36260415/De_lindo-européen_au_celtique_Les_noms_du_cheval_en_gaulois_et_dans_lonomastique</ref>
scorpion,alacrán  escorpión < His. Ar. < Arabic  Lat. <ref>cite web=https://dle.rae.es/?id=1QkLuxq</ref>,escorpião < Lat.
mercury,azogue < His. Ar. < Arabic <ref> https://dle.rae.es/azogue?m=form </ref>,mercúrio < Lat.
breast cancer,zaratán  cáncer de mama < Arabic  Lat. <ref name="ddd.uab.cat"/>,cancro/câncer da mama < Lat.
robe (bath),albornoz < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=1YJQTfO</ref>,roupão  robe < Gothic  Fra. <ref>cite web=http://michaelis.uol.com.br/busca?r=0&f=0&t=0&palavra=roupa</ref>
hostess  stewardess,azafata < Hisp. Ar < Arabic. <ref>cite web=https://dle.rae.es/?id=4dGoa81</ref>,hospedeira (de bordo) < Lat. <ref>cite web=https://dicionario.priberam.org/hóspede</ref>
sewage (system)  gutter,1cDZnjj</ref>,esgoto  goteira < Lat. <ref>cite web=https://dicionario.priberam.org/gota</ref>
jerk,mamarracho < Hisp. Ar < Arabic <ref>cite web=https://dle.rae.es/?id=O5tvhB7</ref>,parvo < Lat . <ref>cite web=https://dicionario.priberam.org/PARVO</ref>
drunk  drunkard,borracho < Cat < Arabic <ref>cite web=http://www.elcastellano.org/palabra/borracho</ref>,bêbado < Lat .
to crimp  to compress  to link (verb),engarzar < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=FME9Zih</ref>,engrenar  endentar  comprimir < Lat.
to duck out  to skive off (verb),escaquearse < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=GAOvDC5</ref>,escapar < Lat. < Proto-Italic
to save(financial) (verb),ahorrar < Arabic. <ref>cite web= https://dle.rae.es/?id=KgVLUDv</ref>,poupar < Lat.
corner  edge,rincón < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=WUIVKs7</ref>,canto < Celtic <ref name="scribd.com">cite web=https://www.scribd.com/doc/20623905/A-Checklist-of-Proto-Celtic-Lexical-Items</ref>
flowerbed  small garden  vegetable patch,arriate < Hisp. Ar. < Arabic <ref>cite web=https://dle.rae.es/?id=3kDNb4J</ref>,canteiro < Celtic <ref name="scribd.com"/>
Majorcan,mallorquí < Lat. maiorica + Arabic gentilic suffix,Maiorquino < Lat
Iraqi,iraquí  irakí < Arabic demonym <ref>cite web=http://repositorio.uchile.cl/bitstream/handle/2250/134131/Los-arabismos-en-la-lengua-espanola.pdf?sequence=1</ref>,Iraquiano < Lat. + suffix
