Name,Guest OS SMP available,Runs arbitrary OS,Supported guest OS drivers,Method of operation,Typical use,Speed relative to host OS,Commercial support available
Containers  or Zones,, over 500-way on current systems,[null],Uses native device drivers,Operating system-level virtualization,Server consolidation with workload isolation  single workload containment  hosting  dev/test/prod,Near native,[null]
Hyper-V Server 2008 R2,, up to 4 VCPUs per VM,[null],[null],Virtualization,Server consolidation  service continuity  dev/test  desktop virtualization  cloud computing,Up to near native,[null]
OpenVZ,[null],[null],Compatible,Operating system-level virtualization,Virtualized server isolation,Up to near native,[null]
KVM,<ref name="linux-kvm mainpage" />,[null],[null],AMD-V and Intel-VT-x,Virtualized server isolation  server/desktop consolidation  software development  cloud computing  other purposes,Up to near native,<ref name="KVM" />
Linux-VServer,[null],[null],Compatible,Operating system-level virtualization,Virtualized server isolation and security  server consolidation  cloud computing,Up to near native,[null]
Oracle VM Server for x86,[null],[null],[null],Paravirtualization and hardware virtualization,Server consolidation and security  enterprise and business deployment,Up to near native,[null]
Oracle VM Server for SPARC (LDoms),[null],, but needs porting<ref name="Logical Domains" />,[null],Paravirtualization and hardware virtualization,Server consolidation and security  enterprise and business deployment,Up to near native,[null]
OVPsim,[null],[null],[null],Full system simulation with optional component virtualization,Software development (early  embedded)  advanced debug for single and multicore software  compiler and other tool development  computer architecture research  hobbyist,Depends on target architecture (full and slow hardware emulation for guests incompatible with host),, with commercial license from Imperas<ref name="imperas" />
PikeOS,[null],, but modifications required as paravirtualization is used,[null],Paravirtualization,Safety and security critical embedded systems.,Up to near native,[null]
ScaleMP vSMP Foundation,, up to 8.192 CPUs and 64 TB per VM,[null],[null],Virtualization,Server consolidation  Cloud computing,?,[null]
Simics,[null],[null],[null],Full system simulation of processors  MMUs  devices  disks  memories  networks  etc.,Software development  advanced debug for single and multicore software  compiler and other tool development  computer architecture research  bug transportation  automated testing  system architecture  long-term support of safety-critical systems  early hardware availability  virtual prototyping,Depends on host machine and target architecture. Runs at near-native speeds for x86-on-x86 using VT-x  cross-simulation of other architectures can be faster or slower than real-time depending on how fast the target is and how big the target is (number of processors  number of target machines  and how much the simulation can be parallelized),[null]
Sun xVM Server,[null],[null],[null],Paravirtualization and porting or hardware virtualization,Servers  Development,Up to near native,Yes
SVISTA 2004,[null],[null],[null],[null],Hobbyist  Developer  Business workstation,[null],[null]
TRANGO,[null],[null],[null],Paravirtualization and porting or hardware virtualization,Mob. phone  STB  routers  etc.,Near native,[null]
User Mode Linux,[null],[null],special guest kernel+modules required,Porting,Developer (as a separate machine for a server or with X11 networking),Non-significantly slower than native (all calls to kernel are proxied),[null]
OKL4 Microvisor,[null],, (either with para-virtualization or HW virtualization),[null],Paravirtualization  Hardware assisted virtualization,Mobile  embedded  security  safety critical  networking  legacy OS  etc.,Near native,[null]
Oracle VirtualBox,[null],[null],[null],Virtualization,Business workstation  server consolidation  service continuity  developer  hobbyist,Up to near native,(with commercial license)
Virtual Iron 3.1,, up to 8 way,[null],[null],Native virtualization,Server consolidation  service continuity  dev/test,?,[null]
Virtual PC 2007,[null],[null],[null],Virtualization  guest calls trapping where supported,Hobbyist  Developer  Business workstation,Up to near native with virtual machine additions,[null]
Windows Virtual PC,[null],[null],[null],Hardware virtualization,Developer  Business workstation  support for Compatibility with Windows XP applications,Up to near native with virtual machine additions,[null]
Virtual PC 7 for Mac,[null],[null],[null],dynamic recompilation (guest calls trapping where supported),Hobbyist  Developer  Business workstation,Slow,[null]
Virtual Server 2005 R2,[null],[null],[null],Virtualization (guest calls trapping where supported),Server  server farm,Up to near native with virtual machine additions but slower than with hypervisor due to proxied calls,[null]
CoWare Virtual Platform,[null],[null],( Same compiled Software image as for the real device),Full-system virtualization (Processor Core ISA + Hardware + External connections),Early embedded software development and integration (from driver to application)  Multi-core software debugging and optimization,Depending on the system characteristics and the software itself  ranges from faster than real time to slow.,[null]
Virtuozzo,[null],[null],Compatible,Operating system-level virtualization,Server consolidation  service continuity  disaster recovery  service providers,Up to near native,[null]
VMware ESXi Server 5.5 (vSphere),, add-on  up to 64 way,[null],[null],Virtualization,Server consolidation  service continuity  dev/test  cloud computing  business critical applications  Infrastructure as a Service IaaS,Up to near native,[null]
VMware ESX Server 4.0 (vSphere),, add-on  up to 8 way,[null],[null],Virtualization,Server consolidation  service continuity  dev/test  cloud computing,Up to near native,[null]
VMware ESX Server 3.0,, add-on  up to 4 way,[null],[null],Virtualization,Server consolidation  service continuity  dev/test,Up to near native,[null]
VMware ESX Server 2.5.3,, add-on  2 way,[null],[null],Virtualization,Server consolidation  service continuity  dev/test,Up to near native,[null]
VMware Fusion,[null],[null],[null],Virtualization,Hobbyist  Developer  Tester  Business workstation,Up to near native,[null]
VMware Server,(2-way),[null],[null],Virtualization,Server/desktop consolidation  dev/test,Up to near native,[null]
VMware Workstation,(2-way),[null],[null],Paravirtualization (VMI) and virtualization,Technical professional  advanced dev/test  trainer,Up to near native,[null]
VMware Player,<ref name="vmware9" />,[null],[null],Virtualization,Technical professional  advanced dev/test  trainer  end user on prebuilt machines,Up to near native,[null]
